,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
10,"ADVANCED FERTILITY CARE, PLLC",SCOTTSDALE,ARIZONA,2017,100,66,45,18,59.0%,43.9%,31.1%,4 / 18,2.3%,6.9%,8.5%,11.1%,8 / 11,38.1%,16%,12%,36%,6%,17%,46%,51%,41.6%,56.5%,52.6%,8 / 13
11,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,SCOTTSDALE,ARIZONA,2017,56,25,23,6,51.8%,32.0%,34.8%,1 / 6,3.7%,6.8%,12.0%,1 / 12,,1 / 4,9%,17%,32%,8%,2%,32%,45%,27.5%,50.0%,53.8%,1 / 3
12,ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,ARIZONA,2017,12,8,9,5,4 / 12,4 / 8,5 / 9,1 / 5,0.0%,0 / 13,0.0%,0 / 1,,6 / 7,13%,4%,60%,6%,3%,24%,0%,11 / 11,4 / 4,6 / 7,1 / 1
13,BLOOM REPRODUCTIVE INSTITUTE,SCOTTSDALE,ARIZONA,2017,88,66,54,29,55.7%,42.4%,18.5%,3.4%,2.5%,6.1%,12.3%,5.7%,2 / 2,47.6%,7%,30%,50%,9%,4%,10%,3%,71.1%,80.0%,59.0%,10 / 11
14,"BOSTON IVF, THE ARIZONA CENTER, LLC",SCOTTSDALE,ARIZONA,2017,50,30,24,7,58.0%,40.0%,16.7%,1 / 7,5.4%,3.2%,7.3%,2 / 16,1 / 5,1 / 4,16%,60%,43%,5%,4%,40%,10%,69.2%,11 / 14,12 / 17,3 / 9
15,IVF PHOENIX,SCOTTSDALE,ARIZONA,2017,55,28,23,13,18.2%,10.7%,0.0%,1 / 13,5.9%,7.0%,11.4%,2 / 19,,3 / 5,0%,3%,23%,2%,1%,25%,5%,39.1%,9 / 13,3 / 3,1 / 5
16,"FERTILITY TREATMENT CENTER, PC",TEMPE,ARIZONA,2017,86,59,62,30,47.7%,39.0%,17.7%,10.0%,3.8%,6.1%,12.0%,15.1%,,28.6%,5%,31%,39%,1%,3%,13%,5%,15.6%,7.5%,19.4%,13.6%
17,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,ARIZONA,2017,67,30,24,9,55.2%,30.0%,12.5%,1 / 9,0.0%,0.0%,1.8%,0 / 14,,2 / 10,18%,17%,20%,6%,4%,40%,6%,5.9%,7.0%,4.1%,0 / 13
18,ARIZONA REPRODUCTIVE INSTITUTE,TUCSON,ARIZONA,2017,83,52,23,10,60.2%,30.8%,13.0%,0 / 10,2.5%,3.4%,5.7%,3.6%,1 / 4,2 / 11,5%,11%,29%,4%,2%,24%,23%,16.1%,28.3%,35.9%,5 / 14
19,REPRODUCTIVE HEALTH CENTER,TUCSON,ARIZONA,2017,51,20,15,9,33.3%,20.0%,2 / 15,2 / 9,1.8%,2.0%,2.7%,4.3%,1 / 3,7 / 12,11%,7%,17%,4%,3%,24%,16%,75.0%,65.2%,12 / 16,2 / 4
20,ARKANSAS FERTILITY CENTER,LITTLE ROCK,ARKANSAS,2017,108,47,18,6,52.8%,29.8%,5 / 18,1 / 6,11.8%,8.3%,18.9%,2 / 9,,3 / 9,23%,3%,21%,10%,5%,23%,7%,3.8%,0.0%,12.1%,0 / 3
21,LIFESTART FERTILITY CENTER,AGOURA HILLS,CALIFORNIA,2017,3,0,4,1,1 / 3,,1 / 4,0 / 1,0 / 9,1 / 4,0 / 2,0 / 5,,1 / 1,14%,10%,67%,0%,0%,33%,29%,1 / 8,0 / 2,0 / 1,2 / 2
22,ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,CALIFORNIA,2017,7,2,8,3,3 / 7,2 / 2,1 / 8,0 / 3,1 / 12,9.5%,7.1%,0 / 10,,5 / 11,1%,1%,2%,7%,7%,19%,56%,5 / 7,7 / 10,10 / 16,4 / 6
23,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,BEVERLY HILLS,CALIFORNIA,2017,11,10,19,4,7 / 11,5 / 10,5 / 19,2 / 4,0.0%,0.0%,9.1%,2 / 16,,3 / 4,4%,6%,45%,2%,1%,55%,15%,4 / 15,5 / 12,2 / 9,2 / 5
24,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS,CALIFORNIA,2017,149,81,102,64,41.6%,30.9%,21.6%,14.1%,1.5%,2.6%,2.3%,2.2%,,61.5%,1%,1%,2%,1%,<1%,3%,88%,83.3%,87.5%,85.2%,92.9%
25,FERTILITY CARE OF ORANGE COUNTY,BREA,CALIFORNIA,2017,27,18,27,15,48.1%,9 / 18,14.8%,0 / 15,7.8%,13.5%,16.4%,10.7%,,10 / 16,14%,7%,31%,1%,0%,31%,1%,90.2%,62.2%,80.0%,7 / 11
26,CENTRAL CALIFORNIA IVF PROGRAM,CLOVIS,CALIFORNIA,2017,78,42,26,9,51.3%,38.1%,30.8%,0 / 9,7.2%,8.3%,10.0%,14.3%,2 / 6,4 / 10,14%,19%,38%,4%,2%,35%,7%,9.6%,15.6%,10.3%,1 / 14
27,CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,ENCINITAS,CALIFORNIA,2017,12,6,5,3,8 / 12,2 / 6,3 / 5,1 / 3,0.0%,4.3%,4.5%,1 / 13,,60.0%,5%,5%,28%,5%,3%,14%,18%,16 / 19,12 / 13,6 / 10,6 / 6
28,HRC FERTILITY-ENCINO,ENCINO,CALIFORNIA,2017,126,110,110,64,74.6%,44.5%,34.5%,17.2%,2.8%,3.8%,6.1%,5.8%,3 / 4,51.1%,3%,0%,29%,2%,5%,12%,45%,54.1%,51.3%,53.2%,54.8%
29,LOS ANGELES REPRODUCTIVE CENTER (LARC),ENCINO,CALIFORNIA,2017,15,14,15,6,5 / 15,1 / 14,2 / 15,0 / 6,0.0%,0.0%,0.0%,0 / 8,,68.2%,9%,13%,17%,4%,11%,24%,37%,57.7%,6 / 11,10 / 17,1 / 1
30,WESTERN FERTILITY INSTITUTE,ENCINO,CALIFORNIA,2017,30,30,21,31,53.3%,43.3%,28.6%,19.4%,1.0%,1.0%,0.9%,0.0%,,68.1%,2%,6%,25%,4%,3%,26%,1%,92.7%,98.1%,100.0%,100.0%
31,ZOUVES FERTILITY CENTER,FOSTER CITY,CALIFORNIA,2017,108,75,108,53,39.8%,29.3%,19.4%,7.5%,1.6%,1.6%,1.9%,0.8%,59.1%,45.2%,5%,18%,33%,9%,5%,30%,10%,96.2%,100.0%,89.0%,83.1%
32,WEST COAST FERTILITY CENTER,FOUNTAIN VALLEY,CALIFORNIA,2017,26,18,21,9,38.5%,4 / 18,14.3%,1 / 9,2.0%,8.2%,10.6%,12.0%,5 / 10,8 / 14,18%,20%,49%,5%,9%,20%,13%,15.2%,26.7%,4 / 15,3 / 15
33,XPERT FERTILITY CARE OF CALIFORNIA,FOUNTAIN VALLEY,CALIFORNIA,2017,7,2,5,3,6 / 7,0 / 2,2 / 5,1 / 3,0 / 4,0 / 2,0 / 3,0 / 3,,,13%,13%,33%,0%,0%,27%,0%,1 / 4,1 / 2,0 / 1,0 / 3
34,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-FREMONT,FREMONT,CALIFORNIA,2017,276,204,170,90,66.3%,50.0%,37.6%,24.4%,4.3%,4.3%,9.5%,9.2%,,39.4%,7%,16%,44%,3%,4%,30%,8%,11.4%,20.0%,19.5%,23.1%
35,CARE FERTILITY,GLENDALE,CALIFORNIA,2017,65,42,59,17,52.3%,33.3%,22.0%,2 / 17,3.2%,6.3%,9.3%,9.3%,3 / 5,50.0%,18%,9%,29%,1%,0%,15%,20%,24.0%,15.9%,43.6%,35.0%
36,MARIN FERTILITY CENTER,GREENBRAE,CALIFORNIA,2017,42,42,27,33,59.5%,35.7%,29.6%,12.1%,9.0%,11.3%,11.5%,18.8%,,5 / 10,5%,9%,42%,5%,1%,26%,3%,36.7%,77.5%,75.9%,4 / 11
37,"COASTAL FERTILITY MEDICAL CENTER, INC.",IRVINE,CALIFORNIA,2017,48,43,44,7,18.8%,23.3%,6.8%,0 / 7,1.0%,2.2%,2.5%,16.7%,1 / 3,28.6%,5%,7%,30%,3%,<1%,13%,28%,83.3%,77.1%,87.5%,10 / 12
38,FERTILITY CENTER OF SOUTHERN CALIFORNIA,IRVINE,CALIFORNIA,2017,28,24,21,22,71.4%,58.3%,42.9%,31.8%,4.1%,0.0%,0.0%,16.1%,,7 / 12,8%,14%,44%,16%,7%,20%,7%,72.5%,70.4%,13 / 17,52.2%
39,LIFE IVF CENTER,IRVINE,CALIFORNIA,2017,272,294,511,345,27.6%,17.7%,7.8%,3.5%,9.7%,7.2%,4.9%,7.3%,,54.0%,13%,9%,76%,10%,18%,19%,7%,57.1%,52.4%,58.7%,50.6%
40,REPRODUCTIVE FERTILITY CENTER,IRVINE,CALIFORNIA,2017,157,95,88,40,35.7%,30.5%,12.5%,2.5%,0.0%,0.0%,1.0%,1.1%,,57.4%,7%,1%,43%,2%,3%,19%,10%,74.5%,73.6%,79.7%,72.4%
41,REPRODUCTIVE PARTNERS FERTILITY CENTER-SAN DIEGO,LA JOLLA,CALIFORNIA,2017,107,94,77,45,54.2%,37.2%,18.2%,13.3%,6.5%,13.7%,15.7%,12.0%,,53.3%,6%,7%,20%,4%,5%,27%,21%,55.4%,67.6%,86.1%,81.5%
42,LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA LINDA,CALIFORNIA,2017,73,53,35,13,43.8%,37.7%,8.6%,2 / 13,11.4%,8.7%,14.5%,5 / 19,,7 / 12,20%,25%,51%,14%,16%,41%,11%,5.3%,9.8%,3.8%,0 / 7
43,CALIFORNIA FERTILITY PARTNERS,LOS ANGELES,CALIFORNIA,2017,92,108,139,142,46.7%,25.0%,17.3%,4.9%,10.2%,11.8%,11.7%,18.3%,,50.4%,6%,4%,48%,6%,25%,24%,78%,83.1%,74.5%,75.9%,68.5%
44,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,CALIFORNIA,2017,20,16,16,20,40.0%,3 / 16,5 / 16,5.0%,11.4%,0.0%,22.2%,1 / 17,,1 / 4,7%,11%,24%,0%,9%,32%,21%,8 / 15,56.5%,3 / 6,5 / 9
45,CHA FERTILITY CENTER,LOS ANGELES,CALIFORNIA,2017,34,35,22,11,55.9%,31.4%,22.7%,1 / 11,3.2%,3.8%,5.0%,0.0%,,41.5%,5%,6%,49%,<1%,3%,6%,17%,9 / 11,14 / 14,9 / 13,5 / 7
46,CMD FERTILITY,LOS ANGELES,CALIFORNIA,2017,18,22,34,10,9 / 18,40.9%,20.6%,2 / 10,0.0%,0.0%,0.0%,0.0%,2 / 4,1 / 7,8%,12%,34%,9%,10%,14%,14%,12 / 17,68.2%,68.2%,6 / 12
47,PACIFIC FERTILITY CENTER-LOS ANGELES,LOS ANGELES,CALIFORNIA,2017,50,46,27,13,40.0%,23.9%,11.1%,1 / 13,3.9%,2.7%,1.4%,3.4%,3 / 11,40.0%,4%,1%,4%,1%,1%,8%,4%,82.1%,83.9%,86.7%,9 / 12
48,UCLA FERTILITY CENTER,LOS ANGELES,CALIFORNIA,2017,35,16,20,14,51.4%,3 / 16,35.0%,1 / 14,1.3%,3.3%,8.8%,3 / 19,,4 / 13,6%,13%,13%,6%,9%,22%,6%,68.6%,57.7%,65.2%,4 / 8
49,USC FERTILITY,LOS ANGELES,CALIFORNIA,2017,82,93,88,59,53.7%,33.3%,29.5%,15.3%,3.2%,5.3%,10.7%,11.2%,3 / 11,45.2%,3%,11%,46%,7%,5%,22%,30%,15.7%,19.3%,18.3%,7.1%
50,CARE FOR THE BAY AREA,LOS GATOS,CALIFORNIA,2017,0,0,0,0,,,,,0.9%,1.5%,6.5%,24.5%,1 / 3,6 / 14,8%,9%,37%,7%,9%,21%,3%,55.1%,75.7%,66.7%,52.4%
51,INNOVATIVE FERTILITY CENTER,MANHATTAN BEACH,CALIFORNIA,2017,10,15,16,4,8 / 10,6 / 15,8 / 16,1 / 4,0.0%,0.0%,0.0%,0 / 19,,5 / 7,1%,0%,14%,0%,1%,18%,3%,8 / 10,3 / 17,10 / 16,1 / 4
52,CCRM SAN FRANCISCO,MENLO PARK,CALIFORNIA,2017,0,0,0,0,,,,,0 / 7,4.8%,0 / 4,0 / 6,,,3%,10%,74%,5%,8%,18%,3%,,,1 / 1,
53,THE FERTILITY AND GYNECOLOGY CENTER,MONTEREY,CALIFORNIA,2017,21,15,15,10,61.9%,6 / 15,3 / 15,0 / 10,2.1%,12.5%,1 / 18,0 / 11,,2 / 5,15%,25%,27%,2%,1%,33%,13%,0.0%,1 / 13,1 / 10,2 / 6
54,NOVA IN VITRO FERTILIZATION,MOUNTAIN VIEW,CALIFORNIA,2017,88,96,105,52,39.8%,37.5%,20.0%,13.5%,1.3%,1.9%,3.5%,6.7%,,34.5%,13%,12%,53%,13%,6%,19%,5%,43.4%,45.6%,30.1%,21.7%
55,HRC FERTILITY-ORANGE COUNTY,NEWPORT BEACH,CALIFORNIA,2017,259,135,136,63,56.8%,51.1%,35.3%,22.2%,2.8%,4.4%,6.2%,7.0%,4 / 5,47.2%,5%,0%,36%,4%,7%,43%,42%,59.8%,59.1%,59.1%,56.1%
56,NEWPORT FERTILITY CENTER,NEWPORT BEACH,CALIFORNIA,2017,31,40,40,18,51.6%,37.5%,40.0%,2 / 18,0.0%,1.6%,0.0%,8.6%,,8 / 10,11%,14%,48%,4%,18%,22%,27%,80.0%,73.3%,15 / 19,7 / 10
57,OC FERTILITY,NEWPORT BEACH,CALIFORNIA,2017,29,16,15,8,58.6%,8 / 16,7 / 15,3 / 8,4.9%,0.0%,0.0%,2.8%,,6 / 8,5%,14%,5%,6%,9%,24%,5%,97.7%,88.5%,92.0%,5 / 6
58,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,CALIFORNIA,2017,85,81,90,43,63.5%,49.4%,31.1%,9.3%,6.1%,7.4%,5.4%,6.0%,,64.8%,7%,12%,48%,5%,6%,33%,74%,97.7%,100.0%,100.0%,100.0%
59,LANE FERTILITY INSTITUTE,NOVATO,CALIFORNIA,2017,17,8,25,7,5 / 17,2 / 8,4.0%,0 / 7,0.0%,0.0%,0 / 13,0 / 18,,1 / 1,1%,0%,11%,6%,0%,8%,6%,9 / 9,5 / 5,4 / 5,4 / 5
60,AMERICAN REPRODUCTIVE CENTERS,PALM SPRINGS,CALIFORNIA,2017,74,40,39,13,28.4%,27.5%,12.8%,2 / 13,1.3%,1.5%,2.0%,0 / 16,,5 / 7,10%,5%,66%,4%,10%,26%,3%,31.7%,25.0%,30.0%,3 / 6
61,BAY IVF CENTER,PALO ALTO,CALIFORNIA,2017,46,24,34,9,54.3%,45.8%,17.6%,1 / 9,2.8%,7.0%,4.1%,7.7%,0 / 2,1 / 5,19%,22%,57%,5%,12%,36%,6%,5.6%,2.9%,11.1%,0 / 16
62,HRC FERTILITY-PASADENA,PASADENA,CALIFORNIA,2017,494,328,328,171,41.9%,32.0%,16.8%,5.8%,4.3%,6.9%,7.7%,9.1%,1 / 1,44.2%,2%,0%,44%,1%,4%,14%,32%,30.0%,27.0%,28.3%,26.8%
63,"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER",REDONDO BEACH,CALIFORNIA,2017,205,221,261,181,46.8%,38.9%,19.2%,9.9%,8.1%,14.7%,13.0%,13.5%,41.9%,47.5%,4%,7%,24%,4%,2%,12%,29%,66.7%,69.2%,60.0%,58.3%
64,NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,CALIFORNIA,2017,179,83,92,32,59.8%,38.6%,23.9%,21.9%,2.9%,5.0%,3.7%,3.2%,1 / 1,64.9%,15%,20%,25%,8%,5%,41%,40%,18.8%,24.3%,44.6%,30.3%
65,CALIFORNIA IVF FERTILITY CENTER,SACRAMENTO,CALIFORNIA,2017,81,53,30,24,51.9%,50.9%,23.3%,16.7%,1.0%,0.0%,1.5%,0.0%,,39.5%,5%,11%,30%,8%,3%,30%,44%,8.5%,12.7%,11.6%,3.4%
66,KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-SACRAMENTO,SACRAMENTO,CALIFORNIA,2017,170,77,67,18,70.0%,53.2%,38.8%,3 / 18,2.7%,8.7%,6.1%,2.9%,,11 / 18,10%,20%,25%,4%,5%,36%,16%,8.6%,7.9%,6.8%,4.0%
67,FERTILITY SPECIALISTS MEDICAL GROUP,SAN DIEGO,CALIFORNIA,2017,79,58,56,28,46.8%,24.1%,8.9%,7.1%,6.1%,11.1%,19.0%,10.3%,4 / 17,31.7%,9%,8%,38%,2%,13%,40%,10%,47.7%,62.3%,46.4%,44.4%
68,HANABUSA IVF,SAN DIEGO,CALIFORNIA,2017,16,18,45,66,5 / 16,2 / 18,6.7%,9.1%,0.0%,7.5%,1.3%,4.5%,,45.2%,12%,2%,29%,5%,4%,5%,24%,8 / 10,13 / 17,10 / 17,10 / 18
69,NAVAL MEDICAL CENTER SAN DIEGO INFERTILITY CLINIC,SAN DIEGO,CALIFORNIA,2017,68,36,23,6,42.6%,38.9%,21.7%,1 / 6,0.0%,0.0%,0.0%,0 / 11,,0 / 1,25%,15%,7%,3%,<1%,22%,<1%,2.9%,0.0%,0.0%,0 / 7
70,REPRODUCTIVE SCIENCES MEDICAL CENTER,SAN DIEGO,CALIFORNIA,2017,65,43,45,32,20.0%,18.6%,6.7%,6.3%,0.0%,1.8%,1.1%,7.7%,,43.8%,0%,<1%,<1%,0%,1%,1%,0%,0.0%,0.0%,0.0%,0 / 16
71,SAN DIEGO FERTILITY CENTER,SAN DIEGO,CALIFORNIA,2017,180,133,147,72,47.8%,32.3%,20.4%,11.1%,7.8%,11.6%,10.8%,6.2%,0 / 1,56.2%,11%,12%,55%,7%,17%,24%,13%,45.6%,60.0%,56.1%,38.0%
72,LAUREL FERTILITY CARE,SAN FRANCISCO,CALIFORNIA,2017,51,30,30,14,62.7%,33.3%,13.3%,4 / 14,4.3%,9.6%,15.2%,8.8%,4 / 5,7 / 17,10%,12%,32%,3%,8%,18%,8%,31.2%,58.3%,61.0%,11 / 15
73,PACIFIC FERTILITY CENTER,SAN FRANCISCO,CALIFORNIA,2017,161,136,218,120,57.1%,38.2%,26.6%,12.5%,6.0%,7.1%,8.4%,9.9%,,36.4%,5%,10%,49%,6%,9%,27%,32%,81.9%,84.2%,83.7%,70.4%
74,SPRING FERTILITY,SAN FRANCISCO,CALIFORNIA,2017,39,20,19,14,43.6%,55.0%,5 / 19,2 / 14,0.0%,0.0%,0.0%,0.0%,2 / 3,8 / 19,5%,4%,<1%,4%,1%,9%,68%,63.5%,77.5%,49.1%,43.3%
75,UCSF CENTER FOR REPRODUCTIVE HEALTH,SAN FRANCISCO,CALIFORNIA,2017,292,280,435,258,43.5%,37.1%,21.8%,15.5%,6.6%,10.1%,13.5%,14.0%,11 / 19,47.1%,5%,4%,41%,2%,2%,11%,26%,27.5%,29.8%,30.2%,23.5%
76,PALO ALTO MEDICAL FOUNDATION FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,SAN JOSE,CALIFORNIA,2017,129,109,124,76,50.4%,45.9%,28.2%,11.8%,3.4%,10.5%,8.6%,16.0%,2 / 5,28.9%,8%,12%,23%,6%,2%,25%,10%,12.4%,20.6%,17.0%,10.9%
77,REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,SAN RAMON,CALIFORNIA,2017,359,231,211,90,63.0%,56.7%,35.1%,22.2%,10.7%,13.7%,15.8%,17.5%,71.4%,57.4%,9%,13%,37%,7%,6%,24%,58%,29.0%,40.3%,57.2%,61.2%
78,SANTA BARBARA FERTILITY CENTER,SANTA BARBARA,CALIFORNIA,2017,29,19,18,7,48.3%,5 / 19,4 / 18,2 / 7,8.2%,8.8%,17.4%,7.4%,,5 / 10,11%,4%,34%,0%,16%,23%,20%,8.1%,13.0%,26.7%,4.5%
79,SANTA MONICA FERTILITY,SANTA MONICA,CALIFORNIA,2017,4,4,4,4,3 / 4,2 / 4,3 / 4,3 / 4,0.0%,0.0%,2.9%,0.0%,3 / 5,68.4%,<1%,1%,5%,0%,0%,7%,47%,10 / 13,4 / 12,5 / 16,8 / 19
80,"ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP, INC.",SANTA ROSA,CALIFORNIA,2017,45,21,16,19,57.8%,38.1%,6 / 16,1 / 19,5.6%,0.0%,7.3%,1 / 15,,3 / 15,17%,10%,63%,5%,3%,30%,10%,9.1%,0.0%,9.4%,2 / 13
81,"VALLEY CENTER FOR REPRODUCTIVE HEALTH, INC.",SHERMAN OAKS,CALIFORNIA,2017,18,7,10,10,10 / 18,5 / 7,2 / 10,3 / 10,3.7%,0 / 14,0.0%,1 / 17,,1 / 2,6%,12%,30%,4%,1%,32%,18%,7 / 17,3 / 6,5 / 8,2 / 3
82,STANFORD MEDICINE FERTILITY & REPRODUCTIVE HEALTH,SUNNYVALE,CALIFORNIA,2017,198,160,182,102,42.4%,31.9%,13.7%,6.9%,9.6%,9.7%,10.5%,15.4%,0 / 1,39.3%,3%,5%,37%,5%,2%,30%,25%,57.6%,67.1%,74.0%,65.2%
83,THE CENTER FOR FERTILITY AND GYNECOLOGY,TARZANA,CALIFORNIA,2017,59,24,43,30,54.2%,45.8%,37.2%,26.7%,5.3%,9.0%,8.2%,2.5%,,69.8%,5%,2%,47%,3%,3%,18%,62%,46.4%,40.6%,60.0%,40.0%
84,TREE OF LIFE CENTER FOR FERTILITY,TARZANA,CALIFORNIA,2017,5,5,10,2,3 / 5,1 / 5,3 / 10,1 / 2,0 / 7,0 / 3,1 / 9,0 / 6,1 / 1,2 / 3,11%,0%,56%,0%,19%,14%,11%,1 / 3,1 / 2,2 / 2,2 / 3
85,FERTILITY AND SURGICAL ASSOCIATES OF CALIFORNIA,THOUSAND OAKS,CALIFORNIA,2017,113,129,135,79,53.1%,45.0%,20.0%,15.2%,4.9%,5.9%,6.1%,12.5%,2 / 3,44.0%,10%,7%,55%,6%,7%,17%,15%,85.1%,88.6%,87.9%,75.0%
86,PACIFIC REPRODUCTIVE CENTER,TORRANCE,CALIFORNIA,2017,104,46,44,23,54.8%,45.7%,25.0%,4.3%,2.5%,4.5%,5.6%,16.7%,,3 / 6,7%,9%,29%,1%,2%,39%,19%,19.4%,24.1%,21.6%,5 / 18
87,UNIVERSITY FERTILITY CENTER,TORRANCE,CALIFORNIA,2017,46,34,42,20,45.7%,38.2%,28.6%,0.0%,1.0%,1.8%,1.6%,3.8%,,2 / 10,15%,9%,12%,2%,1%,21%,16%,10.3%,5.4%,13.2%,8.6%
88,CALIFORNIA CENTER FOR REPRODUCTIVE HEALTH,WEST HOLLYWOOD,CALIFORNIA,2017,105,86,101,56,52.4%,44.2%,26.7%,16.1%,3.7%,1.5%,3.7%,3.6%,4 / 8,50.0%,9%,11%,34%,4%,5%,30%,47%,18.7%,17.6%,12.4%,9.4%
89,HQA FERTILITY CENTERS,COLORADO SPRINGS,COLORADO,2017,138,55,33,22,36.2%,29.1%,15.2%,9.1%,1.5%,3.4%,0.0%,4.8%,,6 / 12,13%,9%,17%,4%,1%,50%,11%,73.9%,78.3%,91.7%,9 / 9
